"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-34.19,6.74,0,-47.41,-20.97
"ptr_dbl_imp",0,0,0.01,0,0
"mic_dbl_imp",0,0,0.53,0,0
"mol_dbl_imp",0,0,0.91,0,0
"ptr_dbl_imp_Prob_2",0,0,0.14,0,0
"mic_dbl_imp_Prob_2",0,0,0.05,0,0
"mol_dbl_imp_Prob_2",0,0,0.27,0,0
"ptr_dbl_imp_Prob_4",0,0,0.53,0,0
"mic_dbl_imp_Prob_4",0,0,0.24,0,0
"mol_dbl_imp_Prob_4",0,0,0.39,0,0
"ptr_dbl_imp_Prob_6",0,0,0.21,0,0
"mic_dbl_imp_Prob_6",0,0,0.09,0,0
"mol_dbl_imp_Prob_6",0,0,0.76,0,0
"hdl",6.19,1.01,0,4.21,8.16
"lnBm.div",5.11,1.53,0,2.12,8.1
"lFrag",0.59,0.37,0.12,-0.14,1.32
"BatDiv",0.04,0.03,0.24,-0.02,0.1
