"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-43.66,6.17,-7.07,0
"ptr_dbl_imp_BR",0.77,0.29,2.67,0.01
"mic_dbl_imp_BR",0.1,0.09,1.14,0.25
"mol_dbl_imp_BR",-0.37,0.24,-1.56,0.12
"ptr_dbl_imp_BR_2",0.11,0.22,0.47,0.64
"mic_dbl_imp_BR_2",0.04,0.07,0.61,0.54
"mol_dbl_imp_BR_2",0.28,0.28,1.01,0.31
"ptr_dbl_imp_BR_4",0.38,0.23,1.61,0.11
"mic_dbl_imp_BR_4",-0.11,0.06,-1.95,0.05
"mol_dbl_imp_BR_4",0.07,0.24,0.3,0.76
"ptr_dbl_imp_BR_6",0.15,0.25,0.6,0.55
"mic_dbl_imp_BR_6",-0.14,0.07,-1.86,0.06
"mol_dbl_imp_BR_6",-0.24,0.24,-1.02,0.31
"lnBm.div",6.22,1.18,5.29,0
"lFrag",0.49,0.4,1.24,0.22
