"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-40.72,6.24,0,-52.96,-28.49
"ptr_dbl_imp_BR",0.73,0.31,0.02,0.14,1.33
"mic_dbl_imp_BR",0.03,0.07,0.71,-0.11,0.17
"mol_dbl_imp_BR",-0.19,0.24,0.43,-0.66,0.28
"ptr_dbl_imp_BR_2",0.24,0.24,0.32,-0.23,0.71
"mic_dbl_imp_BR_2",0.03,0.06,0.61,-0.09,0.15
"mol_dbl_imp_BR_2",0.28,0.29,0.34,-0.3,0.85
"ptr_dbl_imp_BR_4",0.07,0.21,0.73,-0.34,0.48
"mic_dbl_imp_BR_4",-0.1,0.05,0.07,-0.21,0.01
"mol_dbl_imp_BR_4",0.02,0.24,0.92,-0.44,0.49
"ptr_dbl_imp_BR_6",0.22,0.27,0.41,-0.3,0.74
"mic_dbl_imp_BR_6",-0.08,0.07,0.24,-0.21,0.05
"mol_dbl_imp_BR_6",-0.27,0.22,0.24,-0.71,0.17
"hdl",5.93,1.08,0,3.81,8.06
"lnBm.div",5.69,1.2,0,3.35,8.04
"lFrag",0.49,0.4,0.22,-0.3,1.29
