"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-42.49,5.7,-7.45,0
"ptr_dbl_imp_BR",0.83,0.28,3.03,0
"mic_dbl_imp_BR",0.02,0.08,0.24,0.81
"mol_dbl_imp_BR",-0.29,0.22,-1.3,0.19
"ptr_dbl_imp_BR_2",0.19,0.21,0.9,0.37
"mic_dbl_imp_BR_2",0.05,0.06,0.78,0.44
"mol_dbl_imp_BR_2",0.22,0.26,0.83,0.4
"ptr_dbl_imp_BR_4",0.27,0.21,1.27,0.2
"mic_dbl_imp_BR_4",-0.12,0.05,-2.37,0.02
"mol_dbl_imp_BR_4",0.19,0.23,0.83,0.41
"ptr_dbl_imp_BR_6",0.23,0.24,0.97,0.33
"mic_dbl_imp_BR_6",-0.09,0.07,-1.31,0.19
"mol_dbl_imp_BR_6",-0.36,0.21,-1.7,0.09
"lnBm.div",5.87,1.07,5.46,0
"lFrag",0.41,0.35,1.15,0.25
