"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-38.143,6.488,-5.879,0
"ptr_dbl_imp_BR",-0.302,0.226,-1.336,0.181
"mic_dbl_imp_BR",-0.001,0.066,-0.019,0.985
"mol_dbl_imp_BR",-0.168,0.233,-0.72,0.472
"ptr_dbl_imp_BR_2",0.744,0.275,2.708,0.007
"mic_dbl_imp_BR_2",-0.11,0.057,-1.929,0.054
"mol_dbl_imp_BR_2",-0.048,0.283,-0.168,0.866
"ptr_dbl_imp_BR_4",0.156,0.209,0.746,0.456
"mic_dbl_imp_BR_4",-0.029,0.062,-0.467,0.641
"mol_dbl_imp_BR_4",0.362,0.299,1.213,0.225
"ptr_dbl_imp_BR_6",0.546,0.258,2.119,0.034
"mic_dbl_imp_BR_6",0.031,0.064,0.486,0.627
"mol_dbl_imp_BR_6",0.199,0.255,0.78,0.435
"logPop",-0.285,0.174,-1.633,0.102
"OB_ann_imp",4.861,1.136,4.28,0
"lnBm.div",5.149,1.219,4.226,0
"hdl",-11.46,572.537,-0.02,0.984
"lFrag",-0.406,0.324,-1.253,0.21
"OB_ann_imp_1",2.357,1.643,1.434,0.151
