"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-38.73,6.17,-6.28,0
"ptr_dbl_imp_BR",-0.24,0.22,-1.08,0.28
"mic_dbl_imp_BR",-0.01,0.06,-0.08,0.94
"mol_dbl_imp_BR",-0.12,0.22,-0.52,0.61
"ptr_dbl_imp_BR_2",0.7,0.26,2.72,0.01
"mic_dbl_imp_BR_2",-0.1,0.05,-1.79,0.07
"mol_dbl_imp_BR_2",-0.05,0.27,-0.19,0.85
"ptr_dbl_imp_BR_4",0.17,0.2,0.87,0.38
"mic_dbl_imp_BR_4",-0.03,0.06,-0.52,0.6
"mol_dbl_imp_BR_4",0.38,0.28,1.33,0.18
"ptr_dbl_imp_BR_6",0.55,0.25,2.22,0.03
"mic_dbl_imp_BR_6",0.05,0.06,0.77,0.44
"mol_dbl_imp_BR_6",0.16,0.24,0.66,0.51
"logPop",-0.3,0.17,-1.77,0.08
"OB_ann_imp",4.57,1.12,4.09,0
"lnBm.div",5.14,1.16,4.44,0
"lFrag",-0.41,0.31,-1.32,0.19
"OB_ann_imp_1",1.78,1.55,1.15,0.25
