"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-38.14,6.49,0,-50.86,-25.43
"ptr_dbl_imp_BR",-0.3,0.23,0.18,-0.75,0.14
"mic_dbl_imp_BR",0,0.07,0.98,-0.13,0.13
"mol_dbl_imp_BR",-0.17,0.23,0.47,-0.62,0.29
"ptr_dbl_imp_BR_2",0.74,0.27,0.01,0.21,1.28
"mic_dbl_imp_BR_2",-0.11,0.06,0.05,-0.22,0
"mol_dbl_imp_BR_2",-0.05,0.28,0.87,-0.6,0.51
"ptr_dbl_imp_BR_4",0.16,0.21,0.46,-0.25,0.56
"mic_dbl_imp_BR_4",-0.03,0.06,0.64,-0.15,0.09
"mol_dbl_imp_BR_4",0.36,0.3,0.23,-0.22,0.95
"ptr_dbl_imp_BR_6",0.55,0.26,0.03,0.04,1.05
"mic_dbl_imp_BR_6",0.03,0.06,0.63,-0.1,0.16
"mol_dbl_imp_BR_6",0.2,0.25,0.44,-0.3,0.7
"OB_ann_imp",4.86,1.14,0,2.63,7.09
"OB_ann_imp_1",2.36,1.64,0.15,-0.86,5.58
"hdl",-11.46,572.54,0.98,-1133.61,1110.69
"logPop",-0.28,0.17,0.1,-0.63,0.06
"lnBm.div",5.15,1.22,0,2.76,7.54
"lFrag",-0.41,0.32,0.21,-1.04,0.23
