"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-24.88,6.01,0,-36.65,-13.1
"ptr_dbl_imp",0,0,0.3,0,0
"mic_dbl_imp",0,0,0.03,0,0
"mol_dbl_imp",0,0,0.57,0,0
"ptr_dbl_imp_Prob_2",0,0,0.19,0,0
"mic_dbl_imp_Prob_2",0,0,0.79,0,0
"mol_dbl_imp_Prob_2",0,0,0.65,0,0
"ptr_dbl_imp_Prob_4",0,0,0.53,0,0
"mic_dbl_imp_Prob_4",0,0,0.55,0,0
"mol_dbl_imp_Prob_4",0,0,0.6,0,0
"ptr_dbl_imp_Prob_6",0,0,0.29,0,0
"mic_dbl_imp_Prob_6",0,0,0.84,0,0
"mol_dbl_imp_Prob_6",0,0,0.12,0,0
"logPop",-0.26,0.15,0.09,-0.55,0.04
"OB_ann_imp",4.88,0.99,0,2.94,6.82
"lnBm.div",3.61,1.4,0.01,0.87,6.35
"BatDiv",0.06,0.03,0.03,0.01,0.12
"hdl",-11.46,562.57,0.98,-1114.07,1091.14
"lFrag",-0.31,0.29,0.29,-0.88,0.26
"OB_ann_imp_1",2.69,1.4,0.05,-0.05,5.43
