"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-32.21,5.45,0,-42.89,-21.53
"ptr_dbl_imp",0,0,0.42,0,0
"mic_dbl_imp",0,0,0.02,0,0
"mol_dbl_imp",0,0,0.82,0,0
"ptr_dbl_imp_Prob_2",0,0,0.12,0,0
"mic_dbl_imp_Prob_2",0,0,0.86,0,0
"mol_dbl_imp_Prob_2",0,0,0.47,0,0
"ptr_dbl_imp_Prob_4",0,0,0.46,0,0
"mic_dbl_imp_Prob_4",0,0,0.59,0,0
"mol_dbl_imp_Prob_4",0,0,0.24,0,0
"ptr_dbl_imp_Prob_6",0,0,0.35,0,0
"mic_dbl_imp_Prob_6",0,0,0.89,0,0
"mol_dbl_imp_Prob_6",0,0,0.05,0,0
"logPop",-0.21,0.16,0.18,-0.53,0.1
"OB_ann_imp",4.97,1.05,0,2.91,7.03
"lnBm.div",5.53,1.18,0,3.23,7.83
"hdl",-11.32,603.28,0.99,-1193.72,1171.08
"lFrag",-0.3,0.31,0.33,-0.9,0.3
"OB_ann_imp_1",2.77,1.49,0.06,-0.15,5.69
